d4r55,RfnDt,RfnDt 2,rsqaWe,DU9Pgb,wiI7pd,Hzvxle,znYl0 2
Josiane Reis,Local Guide,1 reseña,Hace un año,Nueva,"las repartidoras, eso sí, dos chicas, de la empresa de transportes, fueron muy amables conmigo. fue un diferenciador. por eso decidí alabar. olist siempre tiene el tiempo de entrega más corto. de lo que investigué.…",,Me gusta
Mateus Cardoso,Local Guide,2 reseñas,Hace un año,Nueva,producto de excelente calidad y pronta entrega. el producto llegó mucho antes de lo esperado.…,,Me gusta
SIMONE,Local Guide,3 reseñas,Hace 2 meses,Nueva,"entrega oportuna, producto de gran calidad.

(original)…",Me gusta,
Nanci Rodrigues Eli,Local Guide,3 reseñas,Hace 11 meses,Nueva,"me conmovió mucho el vendedor y tuve todas mis dudas resueltas, lo recibí bien embalado y me encantó la mercancía, lo volveré a comprar seguro…",,Me gusta
Juh silva silva,Local Guide,1 reseña,Hace 10 meses,Nueva,"producto de gran calidad, realmente mdf, quedó perfecto en la habitación de mi hijo, le encantó, recomiendo mucho su tienda, felicidades.…",,Me gusta
monica cattani,Local Guide,11 reseñas,Hace 7 meses,Nueva,el producto llegó en perfectas condiciones y a tiempo. se lo recomiendo a todos desde ml.…,,Me gusta
Antonio Eustaquio,Local Guide,· 36 reseñas,Hace un año,Nueva,muy buen producto llego antes de la fecha prevista recomiendo grandes vendedores…,,Me gusta
C Cabral Teves,Local Guide,1 reseña,Hace un año,Nueva,"estoy evaluando por ahora solo el tiempo de entrega, que fue excelente, ya que el producto aún no se ha usado y no tengo planes de usarlo de inmediato. pero ustedes ya me causaron una gran impresión, porque yo también…",,Me gusta
Edgar Ricardo Moutounet,Local Guide,1 reseña,Hace un año,Nueva,"gran servicio, el producto llegó dos días antes de lo previsto en perfecto estado y de excelente calidad…",,Me gusta
Celso Petruzalek,Local Guide,· 20 reseñas,Hace un año,Nueva,"recibí la mercancía una semana antes de lo previsto, y la calidad fue superior a la solicitada por falta temporal del proveedor. ¡excelente recibimiento!…",,Me gusta
Carmen Lucia Barros Cecon,Local Guide,· 15 reseñas,Hace un año,Nueva,"hoy recibí el licor stock marula, vino muy rápido, pensé que tardaría un poco más ... este licor es maravilloso, delicioso. pretendo adquirir otros sabores. yo recomiendo…",,Me gusta
wallace Pereira Amaral,Local Guide,1 reseña,Hace un año,Nueva,"el producto es de gran calidad con una estética maravillosa, vino muy bien envuelto, por lo que llega a casa en excelentes condiciones, por lo que lo recomiendo mucho. felicitaciones al vendedor que está súper atento…",,Me gusta
Leticia Werneck Martinez Jardim,Local Guide,3 reseñas,Hace 11 meses,Nueva,"gran servicio. entrega súper rápida, producto de calidad. ¡todos los artículos llegaron en perfectas condiciones!
¡estaba muy satisfecho!…",,Me gusta
Alcides Junior,Local Guide,1 reseña,Hace 2 años,Nueva,"me gusto haber realizado la compra, porque el producto llego antes de lo esperado, super atentos al cliente, lo recomiendo, hare mas compras pronto.…",,Me gusta
Solange2mae@gmail.com Mae,Local Guide,2 reseñas,Hace un año,Nueva,buenas tardes me gusto mucho el producto llego antes de la fecha prevista felicitaciones al vendedor oao mercado libre feliz año nuevo buenas ventas.…,,Me gusta
Julio Cesar,Local Guide,· 7 reseñas,Hace 9 meses,Nueva,el producto llegó en perfectas condiciones y antes de lo previsto! ¡felicitaciones por su compromiso con el cliente! ¡pronto volveré a comprar!…,,Me gusta
Ednaldo Oliveira,Local Guide,2 reseñas,Hace 11 meses,Nueva,"hola quisiera agradecerles a todos por su atención, a mi madre le gustó mucho la silla, es un excelente producto, material muy resistente, entrega rápida, estoy muy agradecida por todo, dios los bendiga a todos,…",,Me gusta
Viviane Caetano,Local Guide,5 reseñas,Hace un año,Nueva,¡muy bien! producto de buena calidad y entrega a tiempo. ¡me sorprendió!…,,Me gusta
Abner Lima,Local Guide,2 reseñas,Hace un año,Nueva,"gran servicio, el producto llegó sin ningún defecto. entregado a tiempo…",,Me gusta
Sergio Alexandre,Local Guide,1 reseña,Hace un año,Nueva,"normalmente estaba esperando la entrega en la fecha programada, 12/04, cuando de repente sonó el timbre. cuando lo alargué, me sorprendí con correos entregando el producto comprado hoy, 4/5. me sorprendió la velocidad…",Me gusta,
lucia nascimento,Local Guide,1 reseña,Hace 10 meses,Nueva,recibí mi compra estoy muy feliz gran producto atento vendedor felicitaciones lo recomiendo a todos en mercado libre…,,Me gusta
gelli kof,Local Guide,1 reseña,Hace un año,Nueva,"muy buena piscina.
a los niños les encantó..
vinieron todas las piezas.…",Me gusta,
Roselaine Marques,Local Guide,1 reseña,Hace 11 meses,Nueva,"gran producto, entrega rápida...
bien embalado y excelente servicio!…",,Me gusta
Maya Galathea,Local Guide,1 reseña,Hace un año,Nueva,"fue una gran experiencia, compré un producto que no encontraba en ningún otro lado y tan necesario para tener siempre en casa!
muchas gracias a ti, siempre amable y atento,…",,Me gusta
Deise Matte,Local Guide,6 reseñas,Hace un año,Nueva,servicio súper amable. entrega antes de lo previsto. producto perfecto y empaquetado con mimo. estoy muy satisfecho. me hice cliente. ¡gracias!…,,Me gusta
Elisa Assaricci,Local Guide,4 reseñas,Hace un año,Nueva,"me encantó, me voy a comprar otro para tener. el producto vino en excelente color, modelo y material. estoy muy feliz. lo recomiendo altamente. incluso me gustaría saber si ustedes venden alfombrillas para autos. la…",,Me gusta
RAIMUNDO FREITAS,Local Guide,5 reseñas,Hace 9 meses,Nueva,"producto de calidad, bien embalado, entregado antes de lo previsto. muy satisfecho con el vendedor.…",,Me gusta
Raphael Almeida,Local Guide,4 reseñas,Hace 11 meses,Nueva,"el producto se ve bien, sin embargo, el empaque llegó roto y sin ninguna protección. se entregó literalmente en la caja del producto sin ningún tipo de protección. podrían haber prestado más atención a eso.…",,Me gusta
Honorio Nozaki,Local Guide,3 reseñas,Hace un año,Nueva,"buen día. excelente recepción, servicio rápido, envío rápido, entrega a tiempo. el producto llegó bien embalado, en perfectas condiciones. te lo recomiendo mucho.…",,Me gusta
José Roberto Miney,Local Guide,5 reseñas,Hace 11 meses,Nueva,"¡excelente vendedor! servicio atento y pronta entrega.
el producto superó mis expectativas.
ya había hecho una compra antes y pretendo hacer otras con olist.…",,Me gusta
violão gospel,Local Guide,· 22 reseñas,Hace un año,Nueva,"fue la compra que recibi mas rapido, vendedor super solicitado, fue sumamente urgente me enviaron el pedido al dia siguiente de la compra lo recibi como 3 dias despues de la compra, recomiendo mucho la compra y al…",,Me gusta
Vagner F. Almeida,Local Guide,1 reseña,Hace un año,Nueva,"respondieron a mis preguntas, los productos enviados son exactamente iguales a los mostrados y todo llegó mucho antes de lo previsto. ¡yo recomiendo!…",,Me gusta
Welcome Music Show,Local Guide,1 reseña,Hace un año,Nueva,"otra compra en olist, muy bien empaquetada, llego 6 dias antes de ''delivery forecast', esta vez, un micrófono inalámbrico 'knup k-p910', investigué por 2 meses, buscando información y comparaciones, en la evaluación;…",Me gusta,
Mauro Nunes,Local Guide,1 reseña,Hace un año,Nueva,"compré el producto, llegué antes de la fecha prevista y estuve muy bien informado de su trayectoria hasta que llegó a mi residencia, enhorabuena a todo el equipo, sois excelentes profesionales.…",,Me gusta
Delma Mesquita,Local Guide,3 reseñas,Hace un año,Nueva,"información clara y puntual sobre el envío de productos hasta el momento de la entrega. ¡producto excelente! precioso bolso, ligero, espacioso y elegante. servicio de tienda - ¡felicidades! súper recomendado!!!…",,Me gusta
Alysson Azevedo,Local Guide,2 reseñas,Hace un año,Nueva,¡compré un filtro de arcilla são pedro de 20 litros! ¡llegó antes de la fecha prevista para la entrega del producto y muy bien empaquetado!…,,Me gusta
Elisa Guazzelli Machado,Local Guide,1 reseña,Hace un año,Nueva,"excelente producto y entrega anticipada.
las bolsas de paja a menudo tienen defectos ya que están hechas a mano. éste sorprende por la extravagancia y uniformidad del trenzado.…",,Me gusta
Renato Bartholomeu,Local Guide,2 reseñas,Hace un año,Nueva,"bueno no tengo nada de que quejarme porque fueron muy atentos y serviciales, me gusto tanto el producto como el servicio, lo recomiendo a la gente que tenga dudas.…",,Me gusta
helio cunha,Local Guide,1 reseña,Hace 9 meses,Nueva,"fue genial comprarte, gracias por enviar el producto rápido y es un producto que funciona perfectamente, gracias mi evaluación para ti es genial, gracias y hasta la próxima compra ok helio…",,Me gusta
Izamar Viana da Silva,Local Guide,· 31 reseñas,Hace 9 meses,Nueva,"gracias a dios el producto sirvió, estoy satisfecho y volveré a comprar seguro, ya indiquen el producto.…",,Me gusta
KVGOSPEL produções,Local Guide,1 reseña,Hace un año,Nueva,"el soporte es de primera, bien planeado, buen acabado, buena articulación, son 4 piezas, 2 de cada lado. los teclistas pueden comprar, excelente relación calidad-precio, estuve buscando durante mucho tiempo. no…",,Me gusta
Walmir Monteiro,Local Guide,· 9 reseñas,Hace un año,Nueva,"gran servicio, dentro del tiempo de entrega y dentro de las expectativas de calidad del producto…",,Me gusta
Sandra Costa,Local Guide,· 19 reseñas,Hace un año,Nueva,"estoy muy satisfecho, llegó mucho antes de la fecha de entrega prevista, producto de gran calidad...
¡súper nominado!…",,Me gusta
Sérgio Coelho,Local Guide,13 reseñas,Hace 8 meses,Nueva,¡quedamos muy satisfechos con el producto (cepillo rotatorio de conair) y la velocidad de entrega! ¡felicidades!…,,Me gusta
Camila da Salina,Local Guide,1 reseña,Hace un año,Nueva,llegó todo bien a mi casa y hasta 2 días antes de la fecha límite cumplieron con la entrega. gran experiencia con estos vendedores.…,,Me gusta
Felipe Maia,Local Guide,1 reseña,Hace un año,Nueva,"dedico esta evaluación a que: ml me envió una notificación de que mi mercancía había sido entregada, pero no la recibí. llamé a olist a través del chat de ml y en pocas horas ya lo habían solucionado parcialmente. al…",,Me gusta
Fernanda Miller,Local Guide,1 reseña,Hace 10 meses,Nueva,"el producto me sorprendió, de alta calidad. llegó bien, me encanta!!!…",,Me gusta
Azeneth Garcia,Local Guide,5 reseñas,Hace un mes,Nueva,"excelente. entrega dentro de lo acordado.

(original)…",,Me gusta
Paolo Marinho de Andrade Zanotto,Local Guide,1 reseña,Hace 9 meses,Nueva,gran herramienta para la mayoría de los ajustes y ajustes necesarios para mantener la guitarra en óptimas condiciones. entrega rápida y producto de alta calidad. yo recomiendo.…,,Me gusta
sandra bittencourt,Local Guide,· 35 reseñas,Hace 9 meses,Nueva,"la compra y la entrega fue súper rápida. el producto está bien embalado y de excelente calidad y precio.
comprar con olist fue una experiencia gratificante.…",Me gusta,
Pedro Almeida Leite,Local Guide,1 reseña,Hace un año,Nueva,"fue muy grato hacer negocios con ustedes, el producto es muy bueno y la entrega es a tiempo, lo recomiendo a todo el que lo necesite. enhorabuena a todo el equipo implicado en la compra.…",,Me gusta
Dininha Utilidades,Local Guide,· 25 reseñas,Hace un año,Nueva,"me uní al paquete en diciembre, cuando llegó el momento de venderlo fue una belleza.
luego...…",,Me gusta
Analice Perez (Borboleta),Local Guide,6 reseñas,Hace 9 meses,Nueva,"¡estupendo! lo compré el jueves y llegó el viernes, muy rápido. perfume genuino y compraré más.…",,Me gusta
MARIARITA DE MORAES,Local Guide,3 reseñas,Hace un año,Nueva,"compré el baúl como regalo para mi esposo, nos encanta, vino exactamente como se anuncia, hermoso, llegó dentro del tiempo programado en un empaque súper seguro. ¡te lo recomiendo mucho!…",,Me gusta
Erik Silva,Local Guide,1 reseña,Hace 10 meses,Nueva,"muy buen producto, llego bien empaquetado, llego rapido aqui al noreste, enfria bien el procesador indio, felicitaciones…",,Me gusta
Fran Coimbra,Local Guide,1 reseña,Hace un año,Nueva,"el producto estaba un poco pasado del tiempo de entrega, pero es mi única queja, msm, el producto llegó bien, el precio estuvo muy bien, seguiré comprando, lo recomiendo mucho. 👏🏼👏…",Me gusta,
Aline Lima,Local Guide,1 reseña,Hace un año,Nueva,"producto de gran calidad,
estas de enhorabuena,
son muy atentos con los clientes, despejando todas las dudas,…",,Me gusta
Leticia Rodrigues,Local Guide,1 reseña,Hace un año,Nueva,"mi producto llego rapido y es hermoso!! ¡sin mencionar que el servicio también fue increíble, aprendí paso a paso la información relacionada con mi producto, desde el pedido hasta la entrega! están de enhorabuena!!!!…",,Me gusta
Wellenn Santos,Local Guide,1 reseña,Hace un año,Nueva,"excelente servicio, el producto llegó en perfectas condiciones y la logística es eficiente. ¡yo recomiendo!…",Me gusta,
Cristiane Micheloni,Local Guide,1 reseña,Hace 11 meses,Nueva,"la calidad del producto es excelente y llegó muy rápido, mucho antes de lo previsto, lo volvería a comprar y lo recomiendo ampliamente…",,Me gusta
Igor toledo Toledo,Local Guide,1 reseña,Hace 8 meses,Nueva,excelente trabajo por parte del vendedor. respondió todas mis consultas. ¡recomendado para todos! ¡satisfacción garantizada! ¡felicitaciones por su trabajo!…,,Me gusta
Quesia Santana,Local Guide,1 reseña,Hace 11 meses,Nueva,"el producto llegó antes de lo previsto. bien empacado y hermoso, vale la pena comprar el producto polvos me funciono muy bien en el cabello.felicidades y gracias.…",,Me gusta
CATRACA PLAY,Local Guide,· 29 reseñas,Hace 11 meses,Nueva,"buen precio, pero cuando me entero donde fue entregado y abro mi paquete, doy mi opinión sobre el producto y no, no informan donde y con quien fue entregado el paquete. olist hace la logística de entrega y quien…",,Me gusta
